epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
79,4380.88,0.43741,0.83367,0.38364,1.01913,0,0.8198,0.63221,0.70211,0.5769,0.8018,0.61752,0.67589,0.51439,0.84653,3.02701,1.25394,1.33811,0,0.00208005,0.000693351,0.00208005,0.000693351,0.00208005,0.000693351,0.00208005,0.000693351
80,4435.81,0.40398,0.79294,0.34853,0.99172,0,0.83067,0.62858,0.69292,0.56129,0.81548,0.61838,0.67386,0.5055,0.82462,2.92832,1.2749,1.31333,0,0.00205176,0.000683919,0.00205176,0.000683919,0.00205176,0.000683919,0.00205176,0.000683919
81,4491.18,0.4365,0.81355,0.37312,1.00775,0,0.79834,0.63619,0.69766,0.56203,0.78212,0.63314,0.68456,0.50769,0.82757,2.96003,1.28798,1.33396,0,0.00202346,0.000674488,0.00202346,0.000674488,0.00202346,0.000674488,0.00202346,0.000674488
82,4546.28,0.4152,0.78483,0.35164,0.99725,0,0.84976,0.59383,0.69558,0.56382,0.869,0.59216,0.678,0.50903,0.84808,2.9615,1.32646,1.35241,0,0.00199517,0.000665057,0.00199517,0.000665057,0.00199517,0.000665057,0.00199517,0.000665057
83,4601.27,0.41843,0.84521,0.36791,0.98362,0,0.79745,0.61988,0.68523,0.54892,0.84319,0.57864,0.66284,0.49081,0.8609,2.97131,1.34366,1.38878,0,0.00196688,0.000655625,0.00196688,0.000655625,0.00196688,0.000655625,0.00196688,0.000655625
84,4656.47,0.42305,0.81619,0.36586,0.99626,0,0.74812,0.66085,0.69345,0.55744,0.84611,0.59961,0.67716,0.49985,0.84839,2.85972,1.272,1.33477,0,0.00193858,0.000646194,0.00193858,0.000646194,0.00193858,0.000646194,0.00193858,0.000646194
85,4711.7,0.40881,0.80326,0.3457,0.98683,0,0.78928,0.63938,0.71397,0.57889,0.8065,0.61621,0.69589,0.52651,0.8271,2.94877,1.24573,1.31032,0,0.00191029,0.000636762,0.00191029,0.000636762,0.00191029,0.000636762,0.00191029,0.000636762
86,4766.81,0.41672,0.78603,0.35272,0.99154,0,0.8425,0.61551,0.70566,0.55654,0.83505,0.61215,0.6862,0.51017,0.84601,2.99601,1.29699,1.32005,0,0.00188199,0.000627331,0.00188199,0.000627331,0.00188199,0.000627331,0.00188199,0.000627331
87,4822.12,0.41917,0.76185,0.35554,0.98447,0,0.78022,0.65413,0.6937,0.551,0.81851,0.61582,0.66959,0.50412,0.86311,3.01135,1.31816,1.36025,0,0.0018537,0.0006179,0.0018537,0.0006179,0.0018537,0.0006179,0.0018537,0.0006179
88,4877.07,0.42134,0.75617,0.35672,0.99148,0,0.78943,0.66327,0.71479,0.58707,0.77954,0.65706,0.70248,0.53436,0.8803,2.93884,1.30159,1.3813,0,0.0018254,0.000608468,0.0018254,0.000608468,0.0018254,0.000608468,0.0018254,0.000608468
89,4932.57,0.40717,0.76655,0.34773,0.98288,0,0.84002,0.62875,0.72039,0.59845,0.8572,0.61045,0.71209,0.53992,0.85945,3.08846,1.24718,1.3381,0,0.00179711,0.000599037,0.00179711,0.000599037,0.00179711,0.000599037,0.00179711,0.000599037
